First Name,Last Name,Email,DOB,SID,Grade,Gender,Ethnicity
Xyla,Whitaker,xylawhitaker@test.yoop.ly,9/23/1996,1078472,1,F,Hispanic
Karly,Mcdonald,karlymcdonald@test.yoop.ly,10/1/1995,1831453,5,F,African American
Brady,Powers,bradypowers@test.yoop.ly,4/19/1999,1956837,1,F,White
Russell,Patton,russellpatton@test.yoop.ly,5/15/1999,1198376,1,M,Japanese
Wade,Rosales,waderosales@test.yoop.ly,9/9/1997,1052767,3,M,Japanese
Caldwell,Boyd,caldwellboyd@test.yoop.ly,8/24/1998,1971723,4,M,Korean
Thane,Norton,thanenorton@test.yoop.ly,11/5/1998,1028534,4,M,African American
Reuben,Kelley,reubenkelley@test.yoop.ly,8/17/1997,1264679,3,F,Japanese
Jordan,Mccullough,jordanmccullough@test.yoop.ly,8/1/1997,1421428,4,F,African American
Echo,Figueroa,echofigueroa@test.yoop.ly,8/25/1995,1923973,5,M,Korean
Simon,Rojas,simonrojas@test.yoop.ly,5/24/1996,1352597,5,F,Korean
Walter,Slater,walterslater@test.yoop.ly,11/5/1998,1188490,3,M,Hispanic
Emerson,Dale,emersondale@test.yoop.ly,7/3/1995,1043415,1,F,African American
Sloane,Flowers,sloaneflowers@test.yoop.ly,11/17/1996,1260923,5,M,Hispanic
Macey,Turner,maceyturner@test.yoop.ly,12/29/1996,1818444,1,M,Korean
Lacota,Levine,lacotalevine@test.yoop.ly,8/17/1995,1232916,2,M,Chinese
Chantale,Combs,chantalecombs@test.yoop.ly,2/25/1995,1970194,3,F,African American
Imelda,Nixon,imeldanixon@test.yoop.ly,6/15/1997,1396173,1,M,Korean
Daquan,Spears,daquanspears@test.yoop.ly,5/10/1998,1381820,2,M,African American
Keane,Graves,keanegraves@test.yoop.ly,10/15/1997,1576375,5,F,Hispanic
Edward,Blair,edwardblair@test.yoop.ly,7/20/1996,1426973,1,M,Korean
Sacha,Odonnell,sachaodonnell@test.yoop.ly,5/17/1996,1175991,5,M,White
Lance,Macdonald,lancemacdonald@test.yoop.ly,11/1/1995,1248055,5,F,Chinese
Herrod,Sullivan,herrodsullivan@test.yoop.ly,12/9/1996,1090142,4,F,Korean
Neil,Rich,neilrich@test.yoop.ly,3/21/1996,1042933,1,F,Japanese
Jamal,Mathis,jamalmathis@test.yoop.ly,1/3/1996,1977064,1,M,Korean
Chaney,Wilder,chaneywilder@test.yoop.ly,7/30/1994,1765077,1,M,African American
Kylee,Glover,kyleeglover@test.yoop.ly,10/22/1995,1384734,3,M,African American
Alfonso,Turner,alfonsoturner@test.yoop.ly,12/10/1996,1807837,5,M,African American
Dale,Hyde,dalehyde@test.yoop.ly,10/3/1998,1095967,1,M,Korean
Joelle,Castillo,joellecastillo@test.yoop.ly,6/26/1998,1119077,1,M,Chinese
Ivana,Mercer,ivanamercer@test.yoop.ly,5/12/1998,1548992,4,M,African American
Kellie,Riddle,kellieriddle@test.yoop.ly,8/8/1995,1892850,1,F,Korean
Henry,Robinson,henryrobinson@test.yoop.ly,7/16/1996,1240389,5,F,Chinese
Berk,Perkins,berkperkins@test.yoop.ly,8/30/1997,1405253,2,F,Chinese
Steven,Taylor,steventaylor@test.yoop.ly,6/24/1996,1521670,2,M,Japanese
Grace,Williamson,gracewilliamson@test.yoop.ly,11/30/1998,1754228,2,F,White
Carol,Patrick,carolpatrick@test.yoop.ly,5/7/1996,1829795,4,F,African American
Venus,Yates,venusyates@test.yoop.ly,8/13/1994,1394674,5,F,Japanese
Eve,Hester,evehester@test.yoop.ly,8/8/1997,1598375,5,M,White
Arden,Rivas,ardenrivas@test.yoop.ly,6/23/1999,1781219,4,M,African American
Justin,Turner,justinturner@test.yoop.ly,9/12/1997,1182008,3,M,Japanese
Jamalia,Benson,jamaliabenson@test.yoop.ly,1/19/1997,1673677,4,F,White
Keegan,Massey,keeganmassey@test.yoop.ly,9/10/1996,1548026,2,F,African American
Jolene,Rogers,jolenerogers@test.yoop.ly,1/12/1998,1170025,2,M,Japanese
Chloe,Casey,chloecasey@test.yoop.ly,1/4/1997,1595561,3,M,Hispanic
Phelan,Tanner,phelantanner@test.yoop.ly,6/20/1996,1125775,2,F,White
Noah,Bartlett,noahbartlett@test.yoop.ly,3/30/1996,1216855,5,M,Hispanic
Grant,Vaughan,grantvaughan@test.yoop.ly,1/29/1995,1938655,1,M,Japanese
Boris,Wooten,boriswooten@test.yoop.ly,5/8/1997,1939842,3,M,African American
Ainsley,Soto,ainsleysoto@test.yoop.ly,8/20/1995,1809735,2,M,Chinese
Jordan,Cervantes,jordancervantes@test.yoop.ly,3/25/1995,1891305,4,F,White
Cassidy,Spence,cassidyspence@test.yoop.ly,3/3/1999,1650690,5,M,Korean
Hayes,Gamble,hayesgamble@test.yoop.ly,1/4/1997,1492040,1,M,White
Ebony,Rodriquez,ebonyrodriquez@test.yoop.ly,6/17/1995,1377069,2,F,White
Harrison,Berger,harrisonberger@test.yoop.ly,12/19/1996,1195018,3,F,White
