First Name,Last Name,Email,DOB,SID,Gender,Ethnicity
Shafira,Cochran,shafiracochran@test.yoop.ly,7/18/1976,1530651,M,White
Tana,Melton,tanamelton@test.yoop.ly,11/11/1984,1603522,M,Japanese
Maia,Robles,maiarobles@test.yoop.ly,7/5/1984,1634356,M,Japanese
Donovan,Orr,donovanorr@test.yoop.ly,12/12/1984,1841227,M,White
Maisie,Dillard,maisiedillard@test.yoop.ly,1/28/1982,1183050,F,Hispanic
Aristotle,Brewer,aristotlebrewer@test.yoop.ly,1/18/1978,1376596,M,Korean
Gwendolyn,Blair,gwendolynblair@test.yoop.ly,2/4/1979,1811167,M,White
Hu,Montgomery,humontgomery@test.yoop.ly,11/3/1978,1998248,M,Hispanic
Lael,Mccullough,laelmccullough@test.yoop.ly,3/22/1975,1536733,F,Chinese
Charde,Hubbard,chardehubbard@test.yoop.ly,6/22/1982,1294404,F,White
Lacey,Lindsay,laceylindsay@test.yoop.ly,9/5/1973,1030564,M,Korean
Morgan,Fernandez,morganfernandez@test.yoop.ly,12/1/1976,1580425,M,Hispanic
Brianna,Frank,briannafrank@test.yoop.ly,8/15/1972,1387976,F,Hispanic
Raven,Patel,ravenpatel@test.yoop.ly,10/19/1984,1777506,M,Chinese
Jelani,Salinas,jelanisalinas@test.yoop.ly,7/23/1981,1603114,F,Japanese
Jocelyn,Burns,jocelynburns@test.yoop.ly,10/19/1984,1493457,M,Hispanic
Taylor,Farmer,taylorfarmer@test.yoop.ly,4/28/1982,1830481,M,Hispanic
Dane,Leblanc,daneleblanc@test.yoop.ly,2/9/1984,1486304,F,Chinese
Lila,Espinoza,lilaespinoza@test.yoop.ly,11/14/1977,1608973,F,African American
Kaden,Barker,kadenbarker@test.yoop.ly,6/27/1976,1509109,F,Korean
Grace,Rivas,gracerivas@test.yoop.ly,3/29/1984,1791351,M,Chinese
Akeem,Bush,akeembush@test.yoop.ly,3/13/1985,1675888,F,African American
Moana,Doyle,moanadoyle@test.yoop.ly,6/20/1984,1958486,F,African American
Jacob,Larsen,jacoblarsen@test.yoop.ly,5/25/1985,1441318,F,Hispanic
Aline,Jackson,alinejackson@test.yoop.ly,12/24/1977,1517524,F,Japanese
Samuel,Newton,samuelnewton@test.yoop.ly,7/11/1972,1652097,F,Japanese
Amanda,Skinner,amandaskinner@test.yoop.ly,8/16/1983,1067617,M,African American
Aubrey,Griffith,aubreygriffith@test.yoop.ly,7/16/1982,1935389,F,Japanese
Pascale,Harmon,pascaleharmon@test.yoop.ly,4/26/1979,1809797,F,White
Fatima,Pope,fatimapope@test.yoop.ly,3/11/1973,1679722,F,Chinese
Cameran,Randall,cameranrandall@test.yoop.ly,4/9/1985,1133401,F,Korean
Arthur,Velasquez,arthurvelasquez@test.yoop.ly,3/28/1973,1227833,M,Korean
Kasimir,Ellis,kasimirellis@test.yoop.ly,4/1/1984,1802860,F,White
Ethan,Rojas,ethanrojas@test.yoop.ly,1/2/1979,1053743,M,African American
Donna,Hudson,donnahudson@test.yoop.ly,10/22/1981,1529143,M,Japanese
Mariko,Owen,marikoowen@test.yoop.ly,5/8/1976,1533028,F,African American
Cameran,Young,cameranyoung@test.yoop.ly,3/3/1975,1900182,M,Japanese
Maggie,Kirkland,maggiekirkland@test.yoop.ly,6/5/1976,1166672,F,White
Ima,Anthony,imaanthony@test.yoop.ly,7/5/1973,1805660,F,Hispanic
Clarke,Garrison,clarkegarrison@test.yoop.ly,12/3/1974,1422902,M,White
Kalia,Brooks,kaliabrooks@test.yoop.ly,4/8/1984,1342129,M,Hispanic
Brynne,Vinson,brynnevinson@test.yoop.ly,12/16/1974,1261842,F,Korean
Mara,Richard,mararichard@test.yoop.ly,11/8/1982,1922054,M,White
Declan,Hewitt,declanhewitt@test.yoop.ly,4/6/1974,1368287,F,African American
Emi,Griffin,emigriffin@test.yoop.ly,6/28/1975,1755751,M,Korean
Kathleen,Sellers,kathleensellers@test.yoop.ly,3/1/1984,1036124,F,White
Zenia,Farley,zeniafarley@test.yoop.ly,1/21/1975,1112142,F,Hispanic
Ursa,Burns,ursaburns@test.yoop.ly,10/20/1981,1468253,F,Chinese
Claudia,Waller,claudiawaller@test.yoop.ly,5/12/1978,1393249,F,Korean
