First Name,Last Name,Email,Phone,Student,Contact Method,
Maia,Grimes,Cum.sociis@molestie.ca,687-712-8093,1039042,,
Bruce,Vance,sit.amet.consectetuer@nonummy.ca,072-745-6890,mollis@lacusNullatincidunt.co.uk,email,
Montana,Peck,euismod.ac@purus.ca,616-958-7820,1290881,"phone, email",
Adele,Perez,aliquet.diam@aarcu.co.uk,001-119-1837,mollis@lacusNullatincidunt.co.uk,email,
Genevieve,Roth,vehicula@purusgravidasagittis.edu,396-638-3404,"Alexander,Indira","phone, email",
Harding,Fleming,dictum.mi.ac@semper.com,206-232-0917,ante@egestas.ca,"phone, email",
Jaime,Wilkinson,iaculis.quis@nequeNullamnisl.org,624-816-7948,volutpat.Nulla.dignissim@rhoncusDonecest.net,phone,
Michelle,Clarke,vitae.erat.Vivamus@dignissimmagnaa.edu,129-377-7230,"Ramirez,Veda","phone, email",
Charles,Alston,at.egestas.a@nequevenenatis.co.uk,538-573-0840,"Cohen,Katell","phone, email",
Chiquita,Schroeder,Nunc.ut.erat@tempus.co.uk,510-542-1536,volutpat.Nulla.dignissim@rhoncusDonecest.net,"phone, email",
Jemima,Mcdonald,Aliquam.nisl.Nulla@idblanditat.ca,036-563-7213,1516974,phone,
Nero,Roy,enim.diam@semper.com,648-328-7616,1290881,,
Abel,Schwartz,tincidunt.pede.ac@magnisdisparturient.org,953-108-9111,"Howe, Shelley",,
Hyacinth,Sparks,facilisis.magna@egetipsum.edu,108-355-0864,"Ramirez,Veda","phone, email",
Berk,Osborn,per.conubia.nostra@Nuncsedorci.edu,494-555-1567,at.augue.id@vitaemauris.ca,,
Vera,Chan,velit.eget.laoreet@nullaIntincidunt.ca,770-777-1326,"Howe,Shelley",,
Graham,Battle,Fusce@amet.edu,025-139-7498,1516974,"email, phone",
Isaac,Martin,a.feugiat.tellus@sem.ca,350-959-7611,"Mccarty, Whitney",,
Zachery,Castillo,magna@sociis.edu,494-244-6880,"Cohen,Katell",email,
