First Name,Last Name,Email,DOB,SID,Grade,Gender,Ethnicity
Xyla,Whitaker,ullamcorper.Duis@tristiquepellentesquetellus.ca,9/23/1996,1078472,1,F,Hispanic
Karly,Mcdonald,Donec.non@ligulaNullamenim.org,10/1/1995,1831453,5,F,African American
Brady,Powers,lorem@scelerisqueloremipsum.co.uk,4/19/1999,1956837,1,F,White
Russell,Patton,sodales.elit@atvelitPellentesque.co.uk,5/15/1999,1198376,1,M,Japanese
Wade,Rosales,sagittis.Duis.gravida@euduiCum.edu,9/9/1997,1052767,3,M,Japanese
Caldwell,Boyd,enim.mi@nonfeugiatnec.com,8/24/1998,1971723,4,M,Korean
Thane,Norton,Vivamus.euismod@augue.co.uk,11/5/1998,1028534,4,M,African American
Reuben,Kelley,consectetuer.adipiscing@parturientmontes.com,8/17/1997,1264679,3,F,Japanese
Jordan,Mccullough,ut.ipsum@quis.ca,8/1/1997,1421428,4,F,African American
Echo,Figueroa,Integer@arcu.edu,8/25/1995,1923973,5,M,Korean
Simon,Rojas,ac@etmagnaPraesent.ca,5/24/1996,1352597,5,F,Korean
Walter,Slater,enim@loremvehiculaet.net,11/5/1998,1188490,3,M,Hispanic
Emerson,Dale,sollicitudin@eu.ca,7/3/1995,1043415,1,F,African American
Sloane,Flowers,leo.in.lobortis@telluseuaugue.net,11/17/1996,1260923,5,M,Hispanic
Macey,Turner,mollis.vitae.posuere@etmalesuadafames.com,12/29/1996,1818444,1,M,Korean
Lacota,Levine,fames.ac@iaculislacuspede.ca,8/17/1995,1232916,2,M,Chinese
Chantale,Combs,sodales.Mauris@velit.co.uk,2/25/1995,1970194,3,F,African American
Imelda,Nixon,vel.lectus.Cum@metusVivamus.ca,6/15/1997,1396173,1,M,Korean
Daquan,Spears,elit.dictum@liberolacus.co.uk,5/10/1998,1381820,2,M,African American
Keane,Graves,vitae.semper.egestas@Proin.net,10/15/1997,1576375,5,F,Hispanic
Edward,Blair,Proin.velit@egetmollislectus.ca,7/20/1996,1426973,1,M,Korean
Sacha,Odonnell,auctor.odio.a@magnaPraesent.co.uk,5/17/1996,1175991,5,M,White
Lance,Macdonald,quis.pede@dictum.com,11/1/1995,1248055,5,F,Chinese
Herrod,Sullivan,nisl@estmollis.org,12/9/1996,1090142,4,F,Korean
Neil,Rich,risus@Duisdignissim.co.uk,3/21/1996,1042933,1,F,Japanese
Jamal,Mathis,cubilia.Curae@at.ca,1/3/1996,1977064,1,M,Korean
Chaney,Wilder,ut@Suspendisse.ca,7/30/1994,1765077,1,M,African American
Kylee,Glover,metus.In.nec@molestieintempus.com,10/22/1995,1384734,3,M,African American
Alfonso,Turner,a.neque.Nullam@euismod.net,12/10/1996,1807837,5,M,African American
Dale,Hyde,Aliquam@orcisem.edu,10/3/1998,1095967,1,M,Korean
Joelle,Castillo,Class.aptent.taciti@placeratorci.net,6/26/1998,1119077,1,M,Chinese
Ivana,Mercer,malesuada.ut.sem@imperdietnec.co.uk,5/12/1998,1548992,4,M,African American
Kellie,Riddle,Nullam.scelerisque.neque@Aliquameratvolutpat.org,8/8/1995,1892850,1,F,Korean
Henry,Robinson,vestibulum@quamquisdiam.co.uk,7/16/1996,1240389,5,F,Chinese
Berk,Perkins,nec@dapibusquam.org,8/30/1997,1405253,2,F,Chinese
Steven,Taylor,Donec.vitae.erat@ultricesposuere.ca,6/24/1996,1521670,2,M,Japanese
Grace,Williamson,ornare@Nullam.co.uk,11/30/1998,1754228,2,F,White
Carol,Patrick,Pellentesque.ut@aodio.co.uk,5/7/1996,1829795,4,F,African American
Venus,Yates,massa@hendreritconsectetuer.org,8/13/1994,1394674,5,F,Japanese
Eve,Hester,nunc.ullamcorper.eu@Quisquelibero.ca,8/8/1997,1598375,5,M,White
Arden,Rivas,massa.rutrum.magna@NuncmaurisMorbi.net,6/23/1999,1781219,4,M,African American
Justin,Turner,tempus.mauris@felis.com,9/12/1997,1182008,3,M,Japanese
Jamalia,Benson,pretium@Fusce.edu,1/19/1997,1673677,4,F,White
Keegan,Massey,Etiam@ligulaDonecluctus.co.uk,9/10/1996,1548026,2,F,African American
Jolene,Rogers,non@vulputatelacus.edu,1/12/1998,1170025,2,M,Japanese
Chloe,Casey,mi.enim.condimentum@dolordolortempus.edu,1/4/1997,1595561,3,M,Hispanic
Phelan,Tanner,orci.consectetuer.euismod@feugiat.net,6/20/1996,1125775,2,F,White
Noah,Bartlett,sed@Fuscediam.com,3/30/1996,1216855,5,M,Hispanic
Grant,Vaughan,rutrum.eu.ultrices@egetmagna.org,1/29/1995,1938655,1,M,Japanese
Boris,Wooten,Nunc@rutrumeuultrices.net,5/8/1997,1939842,3,M,African American
Ainsley,Soto,luctus.felis@pellentesque.net,8/20/1995,1809735,2,M,Chinese
Jordan,Cervantes,sapien@eget.edu,3/25/1995,1891305,4,F,White
Cassidy,Spence,ipsum.Suspendisse@molestie.org,3/3/1999,1650690,5,M,Korean
Hayes,Gamble,commodo.ipsum.Suspendisse@nec.org,1/4/1997,1492040,1,M,White
Ebony,Rodriquez,vel.faucibus@accumsan.ca,6/17/1995,1377069,2,F,White
Harrison,Berger,mollis@lacusNullatincidunt.co.uk,12/19/1996,1195018,3,F,White
Lamar,Galloway,tempor.est@ac.co.uk,8/10/1997,1111577,3,F,Japanese
Idona,Trevino,condimentum.eget@egestasblanditNam.ca,5/26/1996,1842816,4,F,Japanese
Rana,Orr,tellus@eratnonummyultricies.ca,8/21/1997,1589475,3,F,African American
Ezra,Morales,Morbi@vitae.org,8/20/1996,1488050,4,M,Japanese
Christine,Williams,sit@egetvolutpatornare.com,4/3/1996,1924610,1,F,Korean
Yen,Schwartz,rutrum.non.hendrerit@Cum.edu,4/9/1999,1346130,5,F,Hispanic
Garrett,Lewis,aliquet.lobortis.nisi@arcuVestibulumante.co.uk,4/21/1996,1214025,3,F,Korean
Rosalyn,Dunlap,Cras.pellentesque.Sed@nisl.edu,5/14/1997,1318719,5,M,Korean
Suki,French,facilisis.eget@Sed.ca,3/20/1998,1371557,1,F,Japanese
Leroy,Huber,enim@ornarelectusjusto.com,7/9/1996,1937876,1,M,African American
Vielka,Weiss,rutrum.Fusce.dolor@placeratCrasdictum.edu,10/30/1995,1040661,1,M,White
Joshua,Mcintosh,mauris@habitantmorbi.ca,1/14/1995,1676277,5,F,Japanese
Ciara,Peterson,vitae.odio.sagittis@risusat.co.uk,2/7/1998,1162967,2,M,Hispanic
Adam,Mcintyre,vitae.posuere@torquent.com,1/7/1995,1706176,1,F,Hispanic
Jonah,Barnes,molestie.arcu@aliquam.org,12/14/1994,1676199,2,F,Japanese
