First Name,Last Name,Email,DOB,SID,Gender,Ethnicity
Shafira,Cochran,nunc.sed.libero@tempusscelerisque.org,7/18/1976,1530651,M,White
Tana,Melton,parturient.montes.nascetur@sapien.org,11/11/1984,1603522,M,Japanese
Maia,Robles,molestie.orci@lectusasollicitudin.co.uk,7/5/1984,1634356,M,Japanese
Donovan,Orr,a.arcu@pedeetrisus.ca,12/12/1984,1841227,M,White
Maisie,Dillard,diam.luctus@vehiculaPellentesque.com,1/28/1982,1183050,F,Hispanic
Aristotle,Brewer,nisl.sem@adipiscinglacusUt.ca,1/18/1978,1376596,M,Korean
Gwendolyn,Blair,neque@eu.co.uk,2/4/1979,1811167,M,White
Hu,Montgomery,gravida@ornare.net,11/3/1978,1998248,M,Hispanic
Lael,Mccullough,risus@magnatellusfaucibus.edu,3/22/1975,1536733,F,Chinese
Charde,Hubbard,blandit.Nam@mattis.org,6/22/1982,1294404,F,White
Lacey,Lindsay,Aliquam@vehicula.ca,9/5/1973,1030564,M,Korean
Morgan,Fernandez,neque.Nullam.ut@auctor.net,12/1/1976,1580425,M,Hispanic
Brianna,Frank,nonummy@malesuadafames.co.uk,8/15/1972,1387976,F,Hispanic
Raven,Patel,Donec@lorem.org,10/19/1984,1777506,M,Chinese
Jelani,Salinas,mauris.sagittis@quamCurabitur.org,7/23/1981,1603114,F,Japanese
Jocelyn,Burns,aliquet@libero.com,10/19/1984,1493457,M,Hispanic
Taylor,Farmer,Morbi.sit.amet@mollisnoncursus.co.uk,4/28/1982,1830481,M,Hispanic
Dane,Leblanc,tincidunt@Seddictum.edu,2/9/1984,1486304,F,Chinese
Lila,Espinoza,sapien@mattis.org,11/14/1977,1608973,F,African American
Kaden,Barker,non.egestas@rhoncusNullamvelit.ca,6/27/1976,1509109,F,Korean
Grace,Rivas,Integer.urna@Cumsociisnatoque.ca,3/29/1984,1791351,M,Chinese
Akeem,Bush,viverra.Maecenas.iaculis@liberomauris.edu,3/13/1985,1675888,F,African American
Moana,Doyle,in.molestie@vestibulum.net,6/20/1984,1958486,F,African American
Jacob,Larsen,Maecenas.libero@arcuVestibulum.edu,5/25/1985,1441318,F,Hispanic
Aline,Jackson,auctor@tempusmauris.org,12/24/1977,1517524,F,Japanese
Samuel,Newton,dictum@etliberoProin.com,7/11/1972,1652097,F,Japanese
Amanda,Skinner,aliquam.adipiscing.lacus@amet.org,8/16/1983,1067617,M,African American
Aubrey,Griffith,elit.sed.consequat@estmollis.edu,7/16/1982,1935389,F,Japanese
