First Name,Last Name,email,dob,sid,gender,ethnicity
Zaid,Vidal,teacher-demo1@yoop.ly,,,,
Shoda,Collins,teacher-demo2@yoop.ly,,,,
Fleur,Elezi,teacher-demo3@yoop.ly,,,,
Thinnakorn,Frostback,teacher-demo4@yoop.ly,,,,
Misybe,Franco,teacher-demo5@yoop.ly,,,,
Morine,Higgins,teacher-demo6@yoop.ly,,,,
Ida,Steel,teacher-demo7@yoop.ly,,,,
Ivo,Kader,teacher-demo8@yoop.ly,,,,
Tal,Vohra,teacher-demo9@yoop.ly,,,,
Victor,Corsello,teacher-demo10@yoop.ly,,,,
Jack,Ventura,teacher-demo11@yoop.ly,,,,
Vincencija,Salek,teacher-demo12@yoop.ly,,,,
Rebeka,Pingle,teacher-demo13@yoop.ly,,,,
Juma,Parmer,teacher-demo14@yoop.ly,,,,
Siraad,Mansour,teacher-demo15@yoop.ly,,,,
Kuroji,Ayoob,teacher-demo16@yoop.ly,,,,
Banthethye,More,teacher-demo17@yoop.ly,,,,
Nic,Roof,teacher-demo18@yoop.ly,,,,
Claud,Farias,teacher-demo19@yoop.ly,,,,
Cabel,Horvat,teacher-demo20@yoop.ly,,,,
